city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,id
Hillside,Hillside,IL,Illinois,17031,Cook,41.8674,-87.9019,1840011261
Columbiana,Columbiana,OH,Ohio,39029,Columbiana,40.8871,-80.675,1840007175
Logan,Logan,OH,Ohio,39073,Hocking,39.5386,-82.4063,1840009566
Batesville,Batesville,IN,Indiana,18137,Ripley,39.2974,-85.2139,1840007379
Glastonbury Center,Glastonbury Center,CT,Connecticut,9003,Hartford,41.7019,-72.6001,1840000503
Sheboygan Falls,Sheboygan Falls,WI,Wisconsin,55117,Sheboygan,43.729,-87.8266,1840002629
Temple Hills,Temple Hills,MD,Maryland,24033,Prince George's,38.8106,-76.9495,1840005967
Wytheville,Wytheville,VA,Virginia,51197,Wythe,36.953,-81.0881,1840006504
St. Francis,St. Francis,MN,Minnesota,27003,Anoka,45.3991,-93.3902,1840008905
Hitchcock,Hitchcock,TX,Texas,48167,Galveston,29.2945,-95.025,1840020971
Catalina,Catalina,AZ,Arizona,4019,Pima,32.4848,-110.8998,1840018109
Bonner Springs,Bonner Springs,KS,Kansas,20209,Wyandotte,39.0817,-94.8776,1840001624
Long Grove,Long Grove,IL,Illinois,17097,Lake,42.1968,-88.0057,1840011164
Camp Hill,Camp Hill,PA,Pennsylvania,42041,Cumberland,40.2423,-76.9274,1840001385
Mansfield Center,Mansfield Center,MA,Massachusetts,25005,Bristol,42.0225,-71.218,1840073506
Wilmington Manor,Wilmington Manor,DE,Delaware,10003,New Castle,39.6858,-75.5849,1840005575
Topanga,Topanga,CA,California,6037,Los Angeles,34.0964,-118.6053,1840025006
Downingtown,Downingtown,PA,Pennsylvania,42029,Chester,40.0076,-75.7019,1840001425
Grand Ledge,Grand Ledge,MI,Michigan,26045,Eaton,42.7534,-84.7448,1840003109
Old Forge,Old Forge,PA,Pennsylvania,42069,Lackawanna,41.3705,-75.7409,1840003387
Lincolnshire,Lincolnshire,IL,Illinois,17097,Lake,42.1957,-87.9182,1840011162
Blair,Blair,NE,Nebraska,31177,Washington,41.5417,-96.1361,1840007094
Jersey Village,Jersey Village,TX,Texas,48201,Harris,29.8903,-95.5721,1840019620
Lexington,Lexington,TN,Tennessee,47077,Henderson,35.6618,-88.3945,1840014527
Richfield,Richfield,UT,Utah,49041,Sevier,38.7628,-112.0926,1840020239
Centerville,Centerville,GA,Georgia,13153,Houston,32.6342,-83.6853,1840014884
West Long Branch,West Long Branch,NJ,New Jersey,34025,Monmouth,40.2883,-74.0185,1840001370
Flushing,Flushing,MI,Michigan,26049,Genesee,43.0637,-83.8403,1840002950
Middletown,Middletown,KY,Kentucky,21111,Jefferson,38.241,-85.5215,1840014295
Ashland,Ashland,VA,Virginia,51085,Hanover,37.7596,-77.4715,1840006341
Fruitvale,Fruitvale,CO,Colorado,8077,Mesa,39.0933,-108.4789,1840017557
Seminole,Seminole,TX,Texas,48165,Gaines,32.7208,-102.6503,1840022061
Altoona,Altoona,WI,Wisconsin,55035,Eau Claire,44.8029,-91.4385,1840002295
Grand Blanc,Grand Blanc,MI,Michigan,26049,Genesee,42.9258,-83.6181,1840002951
Abingdon,Abingdon,VA,Virginia,51191,Washington,36.7089,-81.9713,1840006529
Bridge City,Bridge City,TX,Texas,48361,Orange,30.0298,-93.8406,1840019609
Woodlake,Woodlake,CA,California,6107,Tulare,36.4124,-119.0999,1840021640
Hastings-on-Hudson,Hastings-on-Hudson,NY,New York,36119,Westchester,40.9902,-73.8801,1840004932
Bryans Road,Bryans Road,MD,Maryland,24017,Charles,38.6144,-77.085,1840006172
York,York,NE,Nebraska,31185,York,40.8698,-97.5928,1840010328
Ashland,Ashland,WI,Wisconsin,55003,Ashland,46.5801,-90.8715,1840003916
Princeton,Princeton,IL,Illinois,17011,Bureau,41.3807,-89.464,1840009276
Sangaree,Sangaree,SC,South Carolina,45015,Berkeley,33.0328,-80.1253,1840035792
Templeton,Templeton,CA,California,6079,San Luis Obispo,35.556,-120.7182,1840019127
Los Fresnos,Los Fresnos,TX,Texas,48061,Cameron,26.075,-97.4877,1840021037
South Weber,South Weber,UT,Utah,49011,Davis,41.1334,-111.9392,1840021350
Watford City,Watford City,ND,North Dakota,38053,McKenzie,47.8028,-103.2678,1840001892
Crookston,Crookston,MN,Minnesota,27119,Polk,47.7747,-96.6062,1840006604
Madison Park,Madison Park,NJ,New Jersey,34023,Middlesex,40.4461,-74.2959,1840005421
Covington,Covington,VA,Virginia,51580,Covington,37.7785,-79.9868,1840001688
